 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length,Longest Shortest Path,spx,spy,spz
1,0,0,1,0,0,0.0000,0,0,0.0000,0.0000,0.1339,6.7964,0
2,0,0,1,0,0,0.0000,0,0,0.0000,0.0000,0.1786,5.4461,0
3,289,169,62,298,11546,0.5145,160,9,5.3258,47.7055,19.2510,5.9706,0
4,1,0,2,0,3,0.0539,0,0,0.0539,0.0539,0.2344,6.8411,0
5,49,28,10,46,590,0.1830,24,4,0.8298,2.7188,1.8637,4.9439,0
6,0,0,1,0,0,0.0000,0,0,0.0000,0.0000,0.2232,7.5218,0
7,1,0,2,0,15,0.2063,0,0,0.2063,0.2063,0.4464,1.4396,0
8,1,0,2,0,2,0.0427,0,0,0.0427,0.0427,0.3125,2.7788,0
9,1,0,2,0,0,0.0112,0,0,0.0112,0.0112,0.3013,6.7741,0
10,1,0,2,0,0,0.0112,0,0,0.0112,0.0112,0.3013,8.1468,0
11,3,1,3,1,53,0.2653,1,0,0.4977,0.7625,0.5580,10.3565,0
12,1,0,2,0,0,0.0158,0,0,0.0158,0.0158,0.4799,4.0734,0
13,1,0,2,0,5,0.0716,0,0,0.0716,0.0716,0.5915,4.1292,0
14,8,4,4,10,139,0.2527,4,0,0.5192,1.2671,1.4396,4.2854,0
15,1,0,2,0,1,0.0223,0,0,0.0223,0.0223,0.6808,4.0957,0
16,1,0,2,0,18,0.2629,0,0,0.2629,0.2629,0.7924,8.2807,0
17,1,0,2,0,0,0.0112,0,0,0.0112,0.0112,0.7477,8.9057,0
18,1,0,2,0,29,0.3625,0,0,0.3625,0.3625,1.1048,1.5847,0
19,1,0,2,0,11,0.1478,0,0,0.1478,0.1478,0.7812,13.4924,0
20,0,0,1,0,0,0.0000,0,0,0.0000,0.0000,0.8258,5.5912,0
21,1,0,2,0,0,0.0112,0,0,0.0112,0.0112,0.8928,5.5465,0
22,1,0,2,0,169,2.1237,0,0,2.1237,2.1237,1.6182,0.2232,0
23,1,0,2,0,0,0.0112,0,0,0.0112,0.0112,0.9598,3.9618,0
24,5,2,4,6,319,0.8375,2,0,1.9743,3.6124,3.7721,0.2344,0
25,1,0,2,0,20,0.3083,0,0,0.3083,0.3083,1.2946,13.8161,0
26,7,3,5,5,176,0.3392,3,0,0.9275,1.6392,1.6182,13.2246,0
27,1,0,2,0,33,0.4626,0,0,0.4626,0.4626,1.3504,14.9767,0
28,1,0,2,0,104,1.3752,0,0,1.3752,1.3752,1.6628,8.4816,0
29,1,0,2,0,4,0.0697,0,0,0.0697,0.0697,1.2834,6.0487,0
30,1,0,2,0,20,0.2898,0,0,0.2898,0.2898,1.5066,12.0082,0
31,1,0,2,0,8,0.1236,0,0,0.1236,0.1236,1.3838,6.7741,0
32,1,0,2,0,12,0.1821,0,0,0.1821,0.1821,1.4173,5.7920,0
33,1,0,2,0,0,0.0112,0,0,0.0112,0.0112,1.3169,5.5577,0
34,0,0,1,0,0,0.0000,0,0,0.0000,0.0000,1.4062,4.1515,0
35,5,3,1,7,181,0.5396,3,0,1.4018,0.7875,1.4508,3.3480,0
36,1,0,2,0,0,0.0112,0,0,0.0112,0.0112,1.4731,6.2831,0
37,29,16,9,35,609,0.3051,15,1,1.7543,4.5939,3.2810,5.7920,0
38,4,2,2,4,109,0.3682,2,0,0.5735,0.8995,2.2766,2.4329,0
39,1,0,2,0,35,0.4572,0,0,0.4572,0.4572,1.6405,15.2669,0
40,1,0,2,0,1,0.0269,0,0,0.0269,0.0269,1.6294,5.9818,0
41,3,1,3,1,176,0.8046,1,0,0.9596,1.8244,1.6405,11.4836,0
42,10,5,5,9,195,0.2698,5,0,0.4992,1.9544,2.9686,13.9835,0
43,6,3,3,7,88,0.2262,3,0,0.6670,0.6205,1.8637,5.3122,0
44,0,0,1,0,0,0.0000,0,0,0.0000,0.0000,1.7298,5.4238,0
45,1,0,2,0,0,0.0158,0,0,0.0158,0.0158,1.7521,4.0957,0
46,1,0,2,0,0,0.0112,0,0,0.0112,0.0112,1.7633,15.3450,0
47,12,7,3,13,293,0.3503,7,0,1.7693,3.3020,2.0200,3.2922,0
48,1,0,2,0,121,1.4771,0,0,1.4771,1.4771,3.1806,14.5526,0
49,1,0,2,0,57,0.7120,0,0,0.7120,0.7120,2.4775,12.4657,0
50,13,7,5,11,333,0.3545,7,0,1.2462,2.9155,2.9462,13.6598,0
51,1,0,2,0,36,0.4961,0,0,0.4961,0.4961,2.2543,15.1888,0
52,1,0,2,0,17,0.2240,0,0,0.2240,0.2240,2.2097,13.0907,0
53,1,0,2,0,6,0.0920,0,0,0.0920,0.0920,2.0981,4.3636,0
54,9,4,6,6,694,1.0041,4,0,1.9595,6.5748,3.4038,10.8364,0
55,9,5,3,9,159,0.2595,5,0,0.4684,1.2339,2.4106,7.8008,0
56,0,0,1,0,0,0.0000,0,0,0.0000,0.0000,2.0981,2.8681,0
57,1,0,2,0,19,0.2278,0,0,0.2278,0.2278,2.3213,10.5797,0
58,0,0,1,0,0,0.0000,0,0,0.0000,0.0000,2.1316,4.2854,0
59,0,0,1,0,0,0.0000,0,0,0.0000,0.0000,2.1985,5.7139,0
60,1,0,2,0,29,0.3764,0,0,0.3764,0.3764,2.3101,0.5134,0
61,1,0,2,0,37,0.4518,0,0,0.4518,0.4518,2.7454,10.8922,0
62,1,0,2,0,6,0.0874,0,0,0.0874,0.0874,2.4775,2.0200,0
63,1,0,2,0,78,1.1128,0,0,1.1128,1.1128,3.2699,12.2760,0
64,3,1,3,3,45,0.2153,1,0,0.3075,0.5046,2.8570,3.0802,0
65,1,0,2,0,87,1.1208,0,0,1.1208,1.1208,3.5712,9.1400,0
66,1,0,2,0,4,0.0604,0,0,0.0604,0.0604,2.7230,12.3988,0
67,1,0,2,0,0,0.0112,0,0,0.0112,0.0112,2.7342,5.4349,0
68,1,0,2,0,13,0.1747,0,0,0.1747,0.1747,2.9016,13.6598,0
69,1,0,2,0,2,0.0427,0,0,0.0427,0.0427,2.8570,12.3430,0
70,1,0,2,0,77,1.0831,0,0,1.0831,1.0831,3.6382,12.3876,0
71,3,1,3,3,115,0.5034,1,0,0.7558,1.2231,4.0622,2.3101,0
72,4,2,2,4,40,0.1482,2,0,0.2490,0.2806,3.1136,4.7653,0
73,1,0,2,0,0,0.0112,0,0,0.0112,0.0112,3.1471,5.0443,0
74,19,10,8,18,785,0.5475,10,0,1.5268,5.9646,3.3368,8.6825,0
75,1,0,2,0,1,0.0316,0,0,0.0316,0.0316,3.2252,4.8881,0
76,1,0,2,0,7,0.0893,0,0,0.0893,0.0893,3.3145,13.0795,0
77,0,0,1,0,0,0.0000,0,0,0.0000,0.0000,3.2699,4.8434,0
78,1,0,2,0,180,2.3297,0,0,2.3297,2.3297,5.2787,9.6757,0
79,1,0,2,0,4,0.0743,0,0,0.0743,0.0743,3.4038,1.2946,0
80,13,7,5,13,324,0.3485,7,0,0.5146,2.8239,4.1850,4.5644,0
81,1,0,2,0,127,1.4793,0,0,1.4793,1.4793,4.7988,10.3676,0
82,1,0,2,0,0,0.0112,0,0,0.0112,0.0112,3.3815,4.7653,0
83,16,8,8,18,330,0.2937,8,0,0.5843,2.7580,4.5868,0.5692,0
84,1,0,2,0,30,0.3598,0,0,0.3598,0.3598,3.8725,2.8904,0
85,1,0,2,0,3,0.0493,0,0,0.0493,0.0493,3.5935,5.9371,0
86,3,1,3,1,68,0.3042,1,0,0.3949,0.7463,4.0399,5.6470,0
87,4,2,2,4,172,0.5775,2,0,0.9637,2.0722,5.1559,14.2402,0
88,1,0,2,0,65,0.8799,0,0,0.8799,0.8799,4.4528,9.0954,0
89,1,0,2,0,5,0.0716,0,0,0.0716,0.0716,3.7944,12.0305,0
90,1,0,2,0,146,1.8300,0,0,1.8300,1.8300,5.0220,11.9858,0
91,1,0,2,0,32,0.4607,0,0,0.4607,0.4607,4.5644,11.5506,0
92,1,0,2,0,40,0.5130,0,0,0.5130,0.5130,4.3301,3.9506,0
93,1,0,2,0,32,0.4006,0,0,0.4006,0.4006,4.5310,2.7677,0
94,1,0,2,0,34,0.4692,0,0,0.4692,0.4692,4.5868,11.1935,0
95,0,0,1,0,0,0.0000,0,0,0.0000,0.0000,4.4528,4.1850,0
96,7,4,2,6,418,0.7828,4,0,1.0288,3.4855,7.2317,5.3122,0
97,1,0,2,0,23,0.3094,0,0,0.3094,0.3094,4.7653,13.2358,0
98,1,0,2,0,0,0.0112,0,0,0.0112,0.0112,4.5421,1.8860,0
99,1,0,2,0,13,0.1978,0,0,0.1978,0.1978,4.6872,14.7982,0
100,1,0,2,0,42,0.5631,0,0,0.5631,0.5631,5.0220,4.7988,0
101,3,1,3,3,206,0.8897,1,0,1.5695,2.3874,6.4840,2.5780,0
102,1,0,2,0,47,0.6697,0,0,0.6697,0.6697,5.1894,5.9818,0
103,1,0,2,0,28,0.4022,0,0,0.4022,0.4022,4.9104,8.4258,0
104,5,2,4,2,158,0.4276,2,0,0.6866,1.7543,5.5688,3.1360,0
105,1,0,2,0,0,0.0112,0,0,0.0112,0.0112,4.7876,14.7089,0
106,1,0,2,0,60,0.8056,0,0,0.8056,0.8056,5.4461,14.6196,0
107,1,0,2,0,4,0.0697,0,0,0.0697,0.0697,4.8323,0.6250,0
108,0,0,1,0,0,0.0000,0,0,0.0000,0.0000,4.8100,14.6642,0
109,1,0,2,0,4,0.0604,0,0,0.0604,0.0604,4.8881,9.2293,0
110,4,2,2,4,66,0.2598,2,0,0.4115,0.6278,5.1001,11.2158,0
111,1,0,2,0,39,0.4926,0,0,0.4926,0.4926,5.3010,4.0399,0
112,0,0,1,0,0,0.0000,0,0,0.0000,0.0000,4.8658,14.6866,0
113,1,0,2,0,4,0.0697,0,0,0.0697,0.0697,4.9439,10.8364,0
114,0,0,1,0,0,0.0000,0,0,0.0000,0.0000,4.9216,1.4396,0
115,11,5,4,12,296,0.3910,2,3,0.7275,1.7105,5.9706,7.9794,0
116,1,0,2,0,0,0.0112,0,0,0.0112,0.0112,4.9885,1.4843,0
117,1,0,2,0,0,0.0158,0,0,0.0158,0.0158,4.9885,9.1847,0
118,0,0,1,0,0,0.0000,0,0,0.0000,0.0000,4.9997,0.6919,0
119,1,0,2,0,42,0.5585,0,0,0.5585,0.5585,5.6358,10.4904,0
120,1,0,2,0,11,0.1432,0,0,0.1432,0.1432,5.3233,9.1847,0
121,1,0,2,0,21,0.2640,0,0,0.2640,0.2640,5.4349,14.4522,0
122,3,1,3,3,113,0.5499,1,0,0.8733,1.2644,6.0487,11.8966,0
123,1,0,2,0,10,0.1413,0,0,0.1413,0.1413,5.2898,11.9300,0
124,1,0,2,0,2,0.0335,0,0,0.0335,0.0335,5.3345,4.7207,0
125,3,1,3,1,69,0.3403,1,0,0.5119,0.7756,5.6581,12.9344,0
126,1,0,2,0,18,0.2583,0,0,0.2583,0.2583,5.5465,10.1668,0
127,1,0,2,0,46,0.5800,0,0,0.5800,0.5800,5.9483,11.0261,0
128,1,0,2,0,6,0.0874,0,0,0.0874,0.0874,5.5130,4.4975,0
129,1,0,2,0,8,0.1143,0,0,0.1143,0.1143,5.5019,12.8675,0
130,1,0,2,0,28,0.3375,0,0,0.3375,0.3375,5.9036,9.1512,0
131,1,0,2,0,164,2.0956,0,0,2.0956,2.0956,7.4102,6.8857,0
132,1,0,2,0,0,0.0112,0,0,0.0112,0.0112,5.6581,3.5042,0
133,1,0,2,0,25,0.3179,0,0,0.3179,0.3179,5.8144,9.6199,0
134,1,0,2,0,20,0.2806,0,0,0.2806,0.2806,5.9483,1.3727,0
135,1,0,2,0,6,0.0827,0,0,0.0827,0.0827,5.8367,4.6537,0
136,3,1,3,3,38,0.1800,1,0,0.2594,0.4703,6.1045,3.1806,0
137,1,0,2,0,1,0.0223,0,0,0.0223,0.0223,5.8032,12.7782,0
138,1,0,2,0,20,0.2713,0,0,0.2713,0.2713,5.7809,14.0951,0
139,1,0,2,0,1,0.0269,0,0,0.0269,0.0269,5.8813,12.8675,0
140,8,4,4,8,336,0.5744,4,0,1.9109,3.0863,7.9124,5.3903,0
141,1,0,2,0,33,0.4488,0,0,0.4488,0.4488,6.1045,3.7498,0
142,13,7,5,13,362,0.3790,7,0,1.4972,3.1799,7.4214,9.8989,0
143,5,2,4,2,38,0.1145,2,0,0.2890,0.4442,6.3500,13.1130,0
144,1,0,2,0,0,0.0158,0,0,0.0158,0.0158,6.0599,1.8191,0
145,0,0,1,0,0,0.0000,0,0,0.0000,0.0000,6.0599,6.6625,0
146,1,0,2,0,4,0.0743,0,0,0.0743,0.0743,6.1157,10.6020,0
147,1,0,2,0,2,0.0335,0,0,0.0335,0.0335,6.1380,1.7186,0
148,1,0,2,0,0,0.0112,0,0,0.0112,0.0112,6.1157,4.5310,0
149,1,0,2,0,6,0.0874,0,0,0.0874,0.0874,6.2831,12.4322,0
150,1,0,2,0,27,0.3402,0,0,0.3402,0.3402,6.5621,9.2182,0
151,3,1,3,3,85,0.3718,1,0,0.4507,0.8829,6.4616,1.7410,0
152,1,0,2,0,84,1.0595,0,0,1.0595,1.0595,7.2875,4.9216,0
153,1,0,2,0,148,1.9772,0,0,1.9772,1.9772,7.4884,4.4305,0
154,1,0,2,0,0,0.0112,0,0,0.0112,0.0112,6.4505,1.0602,0
155,3,1,3,3,169,0.7551,1,0,1.0403,1.7342,7.7562,11.7850,0
156,1,0,2,0,14,0.1813,0,0,0.1813,0.1813,6.6067,4.4528,0
157,1,0,2,0,64,0.7624,0,0,0.7624,0.7624,7.3210,2.9351,0
158,1,0,2,0,41,0.5334,0,0,0.5334,0.5334,7.0754,12.1867,0
159,0,0,1,0,0,0.0000,0,0,0.0000,0.0000,6.6179,2.5333,0
160,1,0,2,0,148,2.0003,0,0,2.0003,2.0003,7.1982,13.5817,0
161,2,1,1,3,205,1.3538,1,0,2.3555,0.7043,7.1982,13.5817,0
162,1,0,2,0,2,0.0335,0,0,0.0335,0.0335,6.7853,1.4508,0
163,3,1,3,1,82,0.3769,1,0,0.6178,1.1085,7.0196,0.3013,0
164,3,1,3,1,95,0.4770,1,0,1.2110,1.3865,7.7004,6.8857,0
165,3,1,3,1,169,0.7477,1,0,1.1050,1.7219,8.2807,14.2625,0
166,1,0,2,0,0,0.0112,0,0,0.0112,0.0112,6.8411,9.0731,0
167,1,0,2,0,3,0.0493,0,0,0.0493,0.0493,6.9304,9.1177,0
168,1,0,2,0,5,0.0670,0,0,0.0670,0.0670,6.9638,1.6182,0
169,1,0,2,0,22,0.2752,0,0,0.2752,0.2752,7.2317,10.7806,0
170,3,1,3,3,107,0.4721,1,0,1.1896,1.3513,7.7339,11.5618,0
171,1,0,2,0,37,0.5119,0,0,0.5119,0.5119,7.4549,10.3788,0
172,5,2,4,2,61,0.1690,2,0,0.3122,0.7174,7.4102,9.1512,0
173,6,3,3,7,315,0.7054,3,0,2.4178,3.0933,7.6892,7.2652,0
174,1,0,2,0,29,0.4041,0,0,0.4041,0.4041,7.4102,1.2053,0
175,1,0,2,0,3,0.0585,0,0,0.0585,0.0585,7.2428,2.4998,0
176,1,0,2,0,2,0.0335,0,0,0.0335,0.0335,7.2540,15.2334,0
177,1,0,2,0,7,0.0985,0,0,0.0985,0.0985,7.3321,11.0038,0
178,0,0,1,0,0,0.0000,0,0,0.0000,0.0000,7.3098,14.1062,0
179,1,0,2,0,141,1.7188,0,0,1.7188,1.7188,8.9280,14.8205,0
180,0,0,1,0,0,0.0000,0,0,0.0000,0.0000,7.3544,14.0281,0
181,0,0,1,0,0,0.0000,0,0,0.0000,0.0000,7.3768,14.0839,0
182,3,1,3,3,116,0.5333,1,0,0.9226,1.3167,7.5330,2.6114,0
183,1,0,2,0,0,0.0112,0,0,0.0112,0.0112,7.5107,9.1958,0
184,1,0,2,0,121,1.5464,0,0,1.5464,1.5464,8.8945,1.8749,0
185,1,0,2,0,28,0.3468,0,0,0.3468,0.3468,7.8678,5.0890,0
186,1,0,2,0,2,0.0335,0,0,0.0335,0.0335,7.5888,9.2070,0
187,3,1,3,1,80,0.3396,1,0,0.6489,0.8598,8.2249,10.8475,0
188,0,0,1,0,0,0.0000,0,0,0.0000,0.0000,7.5888,11.2158,0
189,1,0,2,0,67,0.8051,0,0,0.8051,0.8051,8.4593,10.3676,0
190,10,6,2,10,382,0.5131,6,0,1.5565,2.9782,9.6199,1.1383,0
191,1,0,2,0,0,0.0112,0,0,0.0112,0.0112,7.8120,11.7292,0
192,8,4,4,10,294,0.5348,4,0,1.7913,3.1901,9.6980,8.6825,0
193,1,0,2,0,1,0.0223,0,0,0.0223,0.0223,7.9348,9.0731,0
194,0,0,1,0,0,0.0000,0,0,0.0000,0.0000,8.0017,9.0619,0
195,1,0,2,0,30,0.4153,0,0,0.4153,0.4153,8.3588,10.0886,0
196,7,4,2,6,202,0.3879,4,0,0.7947,1.6768,9.0954,4.0399,0
197,1,0,2,0,22,0.2844,0,0,0.2844,0.2844,8.2138,11.4836,0
198,1,0,2,0,3,0.0446,0,0,0.0446,0.0446,8.2472,0.3460,0
199,1,0,2,0,8,0.1097,0,0,0.1097,0.1097,8.3477,13.9277,0
200,10,4,7,9,551,0.7289,3,1,2.7853,6.0907,8.9726,13.2692,0
201,1,0,2,0,15,0.2155,0,0,0.2155,0.2155,8.4593,4.8769,0
202,1,0,2,0,50,0.7125,0,0,0.7125,0.7125,8.8387,7.3768,0
203,1,0,2,0,16,0.2082,0,0,0.2082,0.2082,8.6155,9.4860,0
204,1,0,2,0,24,0.3021,0,0,0.3021,0.3021,8.7160,9.7762,0
205,1,0,2,0,10,0.1459,0,0,0.1459,0.1459,8.5709,10.9368,0
206,13,8,2,16,334,0.3588,8,0,0.7201,1.6803,8.5820,3.8948,0
207,0,0,1,0,0,0.0000,0,0,0.0000,0.0000,8.5486,8.6936,0
208,1,0,2,0,31,0.4218,0,0,0.4218,0.4218,8.7494,5.1336,0
209,3,1,3,1,227,0.9265,1,0,1.3693,2.4346,9.0061,10.1333,0
210,0,0,1,0,0,0.0000,0,0,0.0000,0.0000,8.6713,11.1823,0
211,1,0,2,0,38,0.5369,0,0,0.5369,0.5369,9.1177,5.9371,0
212,1,0,2,0,0,0.0112,0,0,0.0112,0.0112,8.7606,7.0420,0
213,3,1,3,1,56,0.2688,1,0,0.4142,0.6493,9.0284,11.0038,0
214,1,0,2,0,44,0.6039,0,0,0.6039,0.6039,9.3744,13.4143,0
215,1,0,2,0,20,0.2575,0,0,0.2575,0.2575,8.9503,3.8279,0
216,9,5,3,9,226,0.3549,5,0,0.6739,1.8817,9.2182,13.8049,0
217,3,1,3,3,222,0.9723,1,0,2.2970,2.7219,10.5239,4.1627,0
218,1,0,2,0,22,0.2937,0,0,0.2937,0.2937,9.2070,4.8323,0
219,1,0,2,0,28,0.3560,0,0,0.3560,0.3560,9.2851,9.7762,0
220,1,0,2,0,36,0.4869,0,0,0.4869,0.4869,9.4414,0.5803,0
221,1,0,2,0,13,0.1655,0,0,0.1655,0.1655,9.1512,5.5688,0
222,1,0,2,0,17,0.2379,0,0,0.2379,0.2379,9.3744,9.5864,0
223,1,0,2,0,45,0.5457,0,0,0.5457,0.5457,9.6980,11.2270,0
224,1,0,2,0,9,0.1347,0,0,0.1347,0.1347,9.3521,6.7406,0
225,1,0,2,0,37,0.5443,0,0,0.5443,0.5443,9.6646,14.5192,0
226,1,0,2,0,80,1.0149,0,0,1.0149,1.0149,10.2449,11.4167,0
227,1,0,2,0,13,0.2071,0,0,0.2071,0.2071,9.5306,2.5780,0
228,1,0,2,0,32,0.4145,0,0,0.4145,0.4145,9.7427,15.2222,0
229,1,0,2,0,127,1.5117,0,0,1.5117,1.5117,10.8810,7.3544,0
230,1,0,2,0,73,0.9784,0,0,0.9784,0.9784,10.2784,12.9456,0
231,1,0,2,0,3,0.0631,0,0,0.0631,0.0631,9.5306,8.0464,0
232,1,0,2,0,67,0.8375,0,0,0.8375,0.8375,9.6534,6.2161,0
233,1,0,2,0,107,1.3116,0,0,1.3116,1.3116,10.7471,7.8566,0
234,5,2,4,4,282,0.7320,2,0,1.3513,2.6795,10.7248,3.9841,0
235,12,6,6,12,553,0.6189,6,0,1.7081,5.5158,13.4924,2.6561,0
236,1,0,2,0,103,1.3317,0,0,1.3317,1.3317,10.7136,10.1221,0
