ID,Tip_X,Tip_Y,Tip_Z,Distance_to_Fiber,Activated
integrin1,0.001292595352707445,-0.00188175431257948,0.010838530718007056,0.007209528723840308,True
integrin2,-0.007373688780589649,0.006754902942826518,0.004,0.013840104087306314,False
integrin3,0.0012363864551428853,-0.014087985964414473,0.004,0.012112313870203098,False
integrin4,0.010538470206328822,0.013745568220714623,0.004,0.008069482922246112,False
integrin5,-0.021589778057297004,-0.0037935414243532826,0.008818821313572076,0.005187487857200903,True
integrin6,0.018866941954039526,-0.012001604113738427,0.004,0.010253483620670478,False
integrin7,-0.0063589808163188035,0.02365509169243885,0.004,0.01964210568353528,False
integrin8,-0.018611598161928398,-0.02444060803777422,0.008662473738304201,0.007990105798539364,True
integrin9,0.03034577539612276,0.009439136086749237,0.009743749705509243,0.006879790774076391,True
integrin10,-0.023863131364895453,0.011967117376285273,0.008938167118680411,0.006293794227948423,True
integrin11,0.013403187206711614,-0.028641832565355213,0.004,0.014527059259878706,False
integrin12,0.009926122851686587,0.03164604375167969,0.004,0.011149012906799002,False
integrin13,-0.02997179549738671,-0.017369268109590278,0.004,0.01069749250742523,False
integrin14,0.03521454581031473,-0.007741819125583183,0.004,0.009001441471633698,False
integrin15,-0.026444087866665685,0.029860321511220964,0.00907366138198907,0.00711024036243579,True
integrin16,-0.004977197630519073,-0.03840869047164659,0.004,0.012365790038465573,False
integrin17,0.03203351398168947,0.02574753261231107,0.00938175094755573,0.0055731119856820025,True
integrin18,-0.04119584716008132,0.0017035776363936326,0.004,0.011736004236417274,False
integrin19,0.026327136433284205,-0.029392444976521635,0.010605697358808093,0.007612676038628314,True
integrin20,-0.002013438425395673,0.04354246278872085,0.004,0.02465003767894884,False
integrin21,-0.02594396009688255,-0.035233808737578164,0.0075834724542617245,0.0045812356944918125,True
integrin22,0.045416506031728324,0.006110726623731805,0.004,0.016386945924681005,False
integrin23,-0.03850166878598592,0.02678845834859181,0.004,0.01336870321494158,False
integrin24,0.010525956663281471,-0.046788932840178356,0.004,0.016419636912917798,False
integrin25,0.024356789099939137,0.04250584459507994,0.004,0.010626809042137796,False
integrin26,-0.04763463887072037,-0.015196748983123204,0.004,0.017112340680556032,False
integrin27,0.0462884470282008,-0.021386436629729822,0.004,0.014531110697483616,False
integrin28,-0.02006032223901111,0.047933114562555154,0.004,0.010306875044902089,False
integrin29,-0.015010260182954802,-0.04940789267526169,0.008473411800975212,0.005344436299472072,True
integrin30,0.047668910080327836,0.025053443111748515,0.004,0.008112659151961792,False
integrin31,-0.0532845713157406,0.013871691808500173,0.007642325542028679,0.0036575703556874406,True
integrin32,0.030112570815433826,-0.04683196642129693,0.004,0.009466000083951943,False
integrin33,0.00958136326303102,0.05575121055207537,0.004,0.02021542217772657,False
integrin34,-0.04541784361589332,-0.03517413085326002,0.004,0.018749061415293918,False
integrin35,0.06297687369096046,-0.005755442502577791,0.009332692851847919,0.007280492203958458,True
integrin36,-0.04017487588314642,0.04342786372565176,0.004,0.012756198633121562,False
integrin37,0.00029269656791689526,-0.05999928606841192,0.004,0.014319891904177246,False
integrin38,0.040869179228707274,0.04505230503727641,0.004,0.008404138407554818,False
integrin39,-0.06616573826949516,-0.006752395318867423,0.008112572371539438,0.006398235303943842,True
integrin40,0.049745121150807314,-0.037754773495433706,0.004,0.008805790187983569,False
integrin41,-0.011319915657414522,0.06222426785032527,0.004,0.010864439944769,False
integrin42,-0.032777015021552225,-0.05459797546696717,0.007900126663434608,0.004139288570878004,True
integrin43,0.06703860891846412,0.01624787275866052,0.009509223433409987,0.007190503728521915,True
integrin44,-0.0558084849907099,0.030287020199762805,0.007821679008137388,0.004597586949593216,True
integrin45,0.02305829109266155,-0.06219578130296367,0.004,0.020519719745115142,False
integrin46,0.025292790261119854,0.06213110944452063,0.004,0.011416583103676213,False
integrin47,-0.06128892217915116,-0.029045963886880275,0.004,0.011205245139204118,False
integrin48,0.06047469806834483,-0.019310279531488245,0.009223943636773594,0.007312193547514989,True
integrin49,-0.030840209941836977,0.06033766959484228,0.00930444765118103,0.006783395274309041,True
integrin50,-0.012309978434550064,-0.06812835251753624,0.008331653237444607,0.004955452337039909,True
integrin51,0.05942187464309451,0.03837060211604524,0.010927352287889628,0.007601989533042938,True
integrin52,-0.06934650103010034,0.009029657842569419,0.008493625349748787,0.004747717012602079,True
integrin53,0.04674016614416979,-0.054912265194721345,0.004,0.008596248433145144,False
integrin54,0.0023332433298732186,0.07474568797801254,0.007616202749766723,0.004141386339255389,True
integrin55,-0.051579910983984,-0.052340355204032456,0.004,0.016075284623766648,False
integrin56,0.07406523201348544,0.0037870049892459053,0.004,0.010654881975607051,False
integrin57,-0.05845561360052448,0.0475037284631869,0.00800978833062107,0.00408563663630193,True
integrin58,0.010432369583986025,-0.0747740975529837,0.004,0.021977026913037708,False
integrin59,0.04319062434321823,0.06272615059800024,0.004,0.008590884457458226,False
integrin60,-0.07274116468435592,-0.016851294739285688,0.010439912365859071,0.006788331273619654,True
integrin61,0.06739471126112642,-0.03818314934666078,0.004,0.011426030291654924,False
integrin62,-0.023543572801124155,0.07068941678008378,0.007562802372458764,0.005096609598759691,True
integrin63,-0.03267627308367197,-0.07163980162843346,0.004,0.014668750555418142,False
integrin64,0.06986261057438166,0.0315461123663668,0.00963195980757728,0.00650359297942864,True
integrin65,-0.07298412024165402,0.02707850464398305,0.00892940938599371,0.0055063749362990536,True
integrin66,0.03785580091413174,-0.07118242997502702,0.004,0.01369160354827318,False
integrin67,0.020483513337561605,0.07759079910351248,0.007653658334014233,0.003809420231630815,True
integrin68,-0.06788592846301167,-0.04447247598390886,0.010444711809719865,0.006489151600898639,True
integrin69,0.08133782512781286,-0.013570490170857357,0.004,0.020182396572507966,False
integrin70,-0.05133111495988359,0.06633363335026726,0.007505458948591362,0.0036243474149401296,True
integrin71,-0.010027312333503567,-0.08395357486820677,0.008211818532160417,0.005519607637870197,True
integrin72,0.06157353375710748,0.05752129988675799,0.004,0.014122289816055107,False
integrin73,-0.08484877515947528,-0.0008278610612963465,0.004,0.01118788739607645,False
integrin74,0.06356090816219898,-0.05709650561633792,0.004,0.011056710657842061,False
integrin75,-0.008356354059770825,0.08561641984355425,0.004,0.012906678997692139,False
integrin76,-0.052019304336003665,-0.06923865955084797,0.004,0.02181216276354592,False
integrin77,0.08569309576804396,0.016021652152285865,0.004,0.019200422645394014,False
integrin78,-0.07675483938790158,0.0457877560097166,0.009381138693964881,0.005865595239828731,True
integrin79,0.023758663136295287,-0.08506189467661796,0.004,0.024619509230228688,False
integrin80,0.039972162615373556,0.08064570533123148,0.007693875848386529,0.0039466009558809766,True
integrin81,-0.08371210215183172,-0.03150053893699741,0.004,0.014815322118808748,False
integrin82,0.08352217731744756,-0.033526793705227015,0.004,0.02576451518437677,False
integrin83,-0.03401430010129136,0.0823429390082762,0.009471080063441974,0.007556755929554173,True
integrin84,-0.026416647729786347,-0.08719037058483223,0.004,0.017205374243434567,False
integrin85,0.07884578831489533,0.04672624171707708,0.004,0.008260199729918063,False
integrin86,-0.09023391134299916,0.0189166921987902,0.004,0.012774479687965135,False
integrin87,0.050254830603079344,-0.07467355487341983,0.008779769153189794,0.006153719767357729,True
integrin88,0.01108363468087076,0.09261292049309858,0.004,0.01669803021441298,False
integrin89,-0.07113719965621507,-0.06115144172521034,0.004,0.010824655135666782,False
integrin90,0.09429279369951435,-0.002978096093283282,0.004,0.030768821607957426,False
integrin91,-0.06751632101016644,0.06379655209568193,0.007472058544711812,0.004273421446387914,True
integrin92,0.005335884594910714,-0.09524457116072178,0.004,0.015528048676605899,False
integrin93,0.060733241974942696,0.07423929767456762,0.004,0.010248534139332313,False
integrin94,-0.09544526098665988,-0.013791379742012095,0.004,0.022761197190146895,False
integrin95,0.08012162655877483,-0.05459418428345849,0.004,0.026202813803661996,False
integrin96,-0.02231913215981344,0.09487811306952083,0.004,0.014472039580384463,False
integrin97,-0.04788184855006017,-0.08548291396196729,0.004,0.031512195514158306,False
integrin98,0.09353284074289059,0.030848139369580578,0.004,0.024078416011924845,False
integrin99,-0.09026755422913531,0.0406419568117742,0.004,0.015224084746812588,False
integrin100,0.03930625812735952,-0.0914057879569198,0.004,0.009804352835891861,False
